PID,Name,CPU%,Memory%,Cluster
1,systemd,0.0,0.1036649179156937,2
2,kthreadd,0.0,0.0,2
3,pool_workqueue_release,0.0,0.0,2
4,kworker/R-rcu_gp,0.0,0.0,2
5,kworker/R-sync_wq,0.0,0.0,2
6,kworker/R-slub_flushwq,0.0,0.0,2
7,kworker/R-netns,0.0,0.0,2
10,kworker/0:0H-events_highpri,0.0,0.0,2
12,kworker/R-mm_percpu_wq,0.0,0.0,2
13,rcu_tasks_kthread,0.0,0.0,2
14,rcu_tasks_rude_kthread,0.0,0.0,2
15,rcu_tasks_trace_kthread,0.0,0.0,2
16,ksoftirqd/0,0.0,0.0,2
17,rcu_preempt,0.0,0.0,2
18,rcu_exp_par_gp_kthread_worker/0,0.0,0.0,2
19,rcu_exp_gp_kthread_worker,0.0,0.0,2
20,migration/0,0.0,0.0,2
21,idle_inject/0,0.0,0.0,2
22,cpuhp/0,0.0,0.0,2
23,cpuhp/2,0.0,0.0,2
24,idle_inject/2,0.0,0.0,2
25,migration/2,0.0,0.0,2
26,ksoftirqd/2,0.0,0.0,2
28,kworker/2:0H-events_highpri,0.0,0.0,2
29,cpuhp/4,0.0,0.0,2
30,idle_inject/4,0.0,0.0,2
31,migration/4,0.0,0.0,2
32,ksoftirqd/4,0.0,0.0,2
34,kworker/4:0H-events_highpri,0.0,0.0,2
35,cpuhp/6,0.0,0.0,2
36,idle_inject/6,0.0,0.0,2
37,migration/6,0.0,0.0,2
38,ksoftirqd/6,0.0,0.0,2
40,kworker/6:0H-events_highpri,0.0,0.0,2
41,cpuhp/8,0.0,0.0,2
42,idle_inject/8,0.0,0.0,2
43,migration/8,0.0,0.0,2
44,ksoftirqd/8,0.0,0.0,2
46,kworker/8:0H-events_highpri,0.0,0.0,2
47,cpuhp/10,0.0,0.0,2
48,idle_inject/10,0.0,0.0,2
49,migration/10,0.0,0.0,2
50,ksoftirqd/10,0.0,0.0,2
52,kworker/10:0H-events_highpri,0.0,0.0,2
53,cpuhp/1,0.0,0.0,2
54,idle_inject/1,0.0,0.0,2
55,migration/1,0.0,0.0,2
56,ksoftirqd/1,0.0,0.0,2
58,kworker/1:0H-events_highpri,0.0,0.0,2
59,cpuhp/3,0.0,0.0,2
60,idle_inject/3,0.0,0.0,2
61,migration/3,0.0,0.0,2
62,ksoftirqd/3,0.0,0.0,2
64,kworker/3:0H-events_highpri,0.0,0.0,2
65,cpuhp/5,0.0,0.0,2
66,idle_inject/5,0.0,0.0,2
67,migration/5,0.0,0.0,2
68,ksoftirqd/5,0.0,0.0,2
70,kworker/5:0H-events_highpri,0.0,0.0,2
71,cpuhp/7,0.0,0.0,2
72,idle_inject/7,0.0,0.0,2
73,migration/7,0.0,0.0,2
74,ksoftirqd/7,0.0,0.0,2
75,kworker/7:0-mm_percpu_wq,0.0,0.0,2
76,kworker/7:0H-events_highpri,0.0,0.0,2
77,cpuhp/9,0.0,0.0,2
78,idle_inject/9,0.0,0.0,2
79,migration/9,0.0,0.0,2
80,ksoftirqd/9,0.0,0.0,2
81,kworker/9:0-cgwb_release,0.0,0.0,2
82,kworker/9:0H-events_highpri,0.0,0.0,2
83,cpuhp/11,0.0,0.0,2
84,idle_inject/11,0.0,0.0,2
85,migration/11,0.0,0.0,2
86,ksoftirqd/11,0.0,0.0,2
88,kworker/11:0H-events_highpri,0.0,0.0,2
89,kdevtmpfs,0.0,0.0,2
90,kworker/R-inet_frag_wq,0.0,0.0,2
92,kauditd,0.0,0.0,2
93,khungtaskd,0.0,0.0,2
94,oom_reaper,0.0,0.0,2
96,kworker/R-writeback,0.0,0.0,2
97,kcompactd0,0.0,0.0,2
98,ksmd,0.0,0.0,2
99,khugepaged,0.0,0.0,2
100,kworker/R-kintegrityd,0.0,0.0,2
101,kworker/R-kblockd,0.0,0.0,2
102,kworker/R-blkcg_punt_bio,0.0,0.0,2
103,irq/9-acpi,0.0,0.0,2
104,kworker/2:1-mm_percpu_wq,0.0,0.0,2
106,kworker/R-tpm_dev_wq,0.0,0.0,2
107,kworker/R-ata_sff,0.0,0.0,2
108,kworker/R-md,0.0,0.0,2
109,kworker/R-md_bitmap,0.0,0.0,2
110,kworker/R-edac-poller,0.0,0.0,2
111,kworker/R-devfreq_wq,0.0,0.0,2
112,watchdogd,0.0,0.0,2
113,kworker/2:1H-kblockd,0.0,0.0,2
114,kworker/8:1-cgroup_destroy,0.0,0.0,2
115,irq/25-AMD-Vi0-Evt,0.0,0.0,2
116,irq/26-AMD-Vi0-PPR,0.0,0.0,2
117,irq/27-AMD-Vi0-GA,0.0,0.0,2
118,kswapd0,0.0,0.0,2
119,ecryptfs-kthread,0.0,0.0,2
120,kworker/R-kthrotld,0.0,0.0,2
121,irq/30-pciehp,0.0,0.0,2
122,kworker/R-acpi_thermal_pm,0.0,0.0,2
123,kworker/2:2-events,0.0,0.0,2
125,kworker/R-mld,0.0,0.0,2
126,kworker/R-ipv6_addrconf,0.0,0.0,2
128,kworker/6:1H-kblockd,0.0,0.0,2
134,kworker/R-kstrp,0.0,0.0,2
135,kworker/3:1-mm_percpu_wq,0.0,0.0,2
136,kworker/10:1-events,0.0,0.0,2
137,kworker/4:1-cgroup_destroy,0.0,0.0,2
154,kworker/R-charger_manager,0.0,0.0,2
155,kworker/0:1H-kblockd,0.0,0.0,2
180,kworker/9:1H-kblockd,0.0,0.0,2
183,kworker/10:1H-kblockd,0.0,0.0,2
215,kworker/11:1H-kblockd,0.0,0.0,2
216,kworker/7:1H-kblockd,0.0,0.0,2
217,kworker/3:1H-kblockd,0.0,0.0,2
221,kworker/8:1H-kblockd,0.0,0.0,2
226,kworker/5:1H-kblockd,0.0,0.0,2
227,kworker/4:1H-kblockd,0.0,0.0,2
229,kworker/1:1H-kblockd,0.0,0.0,2
232,irq/34-MSFT0002:00,0.0,0.0,2
285,kworker/8:2-events_freezable,0.0,0.0,2
286,scsi_eh_0,0.0,0.0,2
287,kworker/R-scsi_tmf_0,0.0,0.0,2
288,scsi_eh_1,0.0,0.0,2
289,kworker/R-scsi_tmf_1,0.0,0.0,2
291,kworker/R-nvme-wq,0.0,0.0,2
292,kworker/R-nvme-reset-wq,0.0,0.0,2
293,kworker/R-nvme-delete-wq,0.0,0.0,2
294,kworker/R-nvme-auth-wq,0.0,0.0,2
297,kworker/4:3-events,0.0,0.0,2
300,kworker/7:2-cgroup_destroy,0.0,0.0,2
338,jbd2/sda2-8,0.0,0.0,2
339,kworker/R-ext4-rsv-conversion,0.0,0.0,2
393,systemd-journald,0.0,0.1217759052103134,2
469,systemd-udevd,0.0,0.0592209506544819,2
528,psimon,0.0,0.0,2
569,kworker/u48:10-gfx,0.0,0.0,2
594,kworker/u48:28-gfx,0.0,0.0,2
595,kworker/u48:29-events_unbound,0.0,0.0,2
601,kworker/1:2-mm_percpu_wq,0.0,0.0,2
648,kworker/R-cfg80211,0.0,0.0,2
650,kworker/6:2-events,0.0,0.0,2
657,kworker/R-cryptd,0.0,0.0,2
690,kworker/5:2-mm_percpu_wq,0.0,0.0,2
719,irq/75-rtw89_pci,0.0,0.0,2
801,kworker/R-amdgpu-reset-dev,0.0,0.0,2
819,nv_queue,0.0,0.0,2
820,nv_queue,0.0,0.0,2
