PID,Name,CPU%,Memory%
1,systemd,0.0,0.10366491791569377
2,kthreadd,0.0,0.0
3,pool_workqueue_release,0.0,0.0
4,kworker/R-rcu_gp,0.0,0.0
5,kworker/R-sync_wq,0.0,0.0
6,kworker/R-slub_flushwq,0.0,0.0
7,kworker/R-netns,0.0,0.0
10,kworker/0:0H-events_highpri,0.0,0.0
12,kworker/R-mm_percpu_wq,0.0,0.0
13,rcu_tasks_kthread,0.0,0.0
14,rcu_tasks_rude_kthread,0.0,0.0
15,rcu_tasks_trace_kthread,0.0,0.0
16,ksoftirqd/0,0.0,0.0
17,rcu_preempt,0.0,0.0
18,rcu_exp_par_gp_kthread_worker/0,0.0,0.0
19,rcu_exp_gp_kthread_worker,0.0,0.0
20,migration/0,0.0,0.0
21,idle_inject/0,0.0,0.0
22,cpuhp/0,0.0,0.0
23,cpuhp/2,0.0,0.0
24,idle_inject/2,0.0,0.0
25,migration/2,0.0,0.0
26,ksoftirqd/2,0.0,0.0
28,kworker/2:0H-events_highpri,0.0,0.0
29,cpuhp/4,0.0,0.0
30,idle_inject/4,0.0,0.0
31,migration/4,0.0,0.0
32,ksoftirqd/4,0.0,0.0
34,kworker/4:0H-events_highpri,0.0,0.0
35,cpuhp/6,0.0,0.0
36,idle_inject/6,0.0,0.0
37,migration/6,0.0,0.0
38,ksoftirqd/6,0.0,0.0
40,kworker/6:0H-events_highpri,0.0,0.0
41,cpuhp/8,0.0,0.0
42,idle_inject/8,0.0,0.0
43,migration/8,0.0,0.0
44,ksoftirqd/8,0.0,0.0
46,kworker/8:0H-events_highpri,0.0,0.0
47,cpuhp/10,0.0,0.0
48,idle_inject/10,0.0,0.0
49,migration/10,0.0,0.0
50,ksoftirqd/10,0.0,0.0
52,kworker/10:0H-events_highpri,0.0,0.0
53,cpuhp/1,0.0,0.0
54,idle_inject/1,0.0,0.0
55,migration/1,0.0,0.0
56,ksoftirqd/1,0.0,0.0
58,kworker/1:0H-events_highpri,0.0,0.0
59,cpuhp/3,0.0,0.0
60,idle_inject/3,0.0,0.0
61,migration/3,0.0,0.0
62,ksoftirqd/3,0.0,0.0
64,kworker/3:0H-events_highpri,0.0,0.0
65,cpuhp/5,0.0,0.0
66,idle_inject/5,0.0,0.0
67,migration/5,0.0,0.0
68,ksoftirqd/5,0.0,0.0
70,kworker/5:0H-events_highpri,0.0,0.0
